wall_time,session_ms,code,kind,delta_x,delta_y
2026-06-20T19:14:11.7754437+02:00,15219.113,A,KeyUp,0,0
2026-06-20T19:14:11.8137662+02:00,15257.435,M1,MouseDown,0,0
2026-06-20T19:14:11.8447907+02:00,15288.459,M1,MouseUp,0,0
2026-06-20T19:14:11.9336020+02:00,15377.27,D,KeyDown,0,0
2026-06-20T19:14:12.3752837+02:00,15818.952,D,KeyUp,0,0
2026-06-20T19:14:12.4496611+02:00,15893.329,A,KeyDown,0,0
2026-06-20T19:14:12.4923125+02:00,15935.981,A,KeyUp,0,0
2026-06-20T19:14:12.5188867+02:00,15962.556,M1,MouseDown,0,0
2026-06-20T19:14:12.5476069+02:00,15991.276,M1,MouseUp,0,0
2026-06-20T19:14:12.7806677+02:00,16224.336,D,KeyDown,0,0
2026-06-20T19:14:13.3354835+02:00,16779.153,D,KeyUp,0,0
2026-06-20T19:14:13.3657532+02:00,16809.421,A,KeyDown,0,0
2026-06-20T19:14:13.4106342+02:00,16854.303,A,KeyUp,0,0
2026-06-20T19:14:13.4901245+02:00,16933.794,M1,MouseDown,0,0
2026-06-20T19:14:13.5239823+02:00,16967.652,MOVE,MouseMove,-1,0
2026-06-20T19:14:13.5337745+02:00,16977.444,M1,MouseUp,0,0
2026-06-20T19:14:13.7741725+02:00,17217.84,D,KeyDown,0,0
2026-06-20T19:14:14.3536413+02:00,17797.31,D,KeyUp,0,0
2026-06-20T19:14:14.3870389+02:00,17830.707,A,KeyDown,0,0
2026-06-20T19:14:14.4319481+02:00,17875.617,A,KeyUp,0,0
2026-06-20T19:14:14.5254455+02:00,17969.115,M1,MouseDown,0,0
2026-06-20T19:14:14.5708356+02:00,18014.504,M1,MouseUp,0,0
2026-06-20T19:14:14.7293719+02:00,18173.039,D,KeyDown,0,0
2026-06-20T19:14:15.2440107+02:00,18687.679,D,KeyUp,0,0
2026-06-20T19:14:15.2905780+02:00,18734.246,A,KeyDown,0,0
2026-06-20T19:14:15.3831301+02:00,18826.798,A,KeyUp,0,0
2026-06-20T19:14:15.4306130+02:00,18874.282,M1,MouseDown,0,0
2026-06-20T19:14:15.4661473+02:00,18909.817,MOVE,MouseMove,-1,0
2026-06-20T19:14:15.4664230+02:00,18910.092,M1,MouseUp,0,0
2026-06-20T19:14:16.8786949+02:00,20322.363,A,KeyDown,0,0
2026-06-20T19:14:17.7600277+02:00,21203.696,A,KeyUp,0,0
2026-06-20T19:14:17.8757028+02:00,21319.371,D,KeyDown,0,0
2026-06-20T19:14:17.9202861+02:00,21363.956,MOVE,MouseMove,-8,4
2026-06-20T19:14:17.9203023+02:00,21363.972,MOVE,MouseMove,-8,4
2026-06-20T19:14:17.9203062+02:00,21363.976,MOVE,MouseMove,-7,3
2026-06-20T19:14:17.9203095+02:00,21363.979,MOVE,MouseMove,-8,2
2026-06-20T19:14:17.9203125+02:00,21363.982,MOVE,MouseMove,-6,2
2026-06-20T19:14:17.9203161+02:00,21363.986,MOVE,MouseMove,-5,1
2026-06-20T19:14:17.9203197+02:00,21363.989,MOVE,MouseMove,-2,0
2026-06-20T19:14:17.9203252+02:00,21363.995,D,KeyUp,0,0
2026-06-20T19:14:17.9571967+02:00,21400.866,MOVE,MouseMove,-1,0
2026-06-20T19:14:17.9572458+02:00,21400.915,M1,MouseDown,0,0
2026-06-20T19:14:18.0103239+02:00,21453.993,M1,MouseUp,0,0
2026-06-20T19:14:18.0510843+02:00,21494.753,A,KeyDown,0,0
